nsloth: Will smartly offload gradients to save VRAM!
{'loss': 2.8463, 'grad_norm': 0.9424721002578735, 'learning_rate': 0.00019828877005347595, 'epoch': 0.01}
{'loss': 2.253, 'grad_norm': 0.5455955266952515, 'learning_rate': 0.00019614973262032086, 'epoch': 0.02}                                                                                                                           
{'loss': 2.2151, 'grad_norm': 0.44692370295524597, 'learning_rate': 0.0001940106951871658, 'epoch': 0.03}                                                                                                                          
{'loss': 2.2353, 'grad_norm': 0.34578806161880493, 'learning_rate': 0.00019187165775401072, 'epoch': 0.04}                                                                                                                         
{'loss': 2.1062, 'grad_norm': 3.8288021087646484, 'learning_rate': 0.0001897326203208556, 'epoch': 0.05}                                                                                                                           
{'loss': 2.1488, 'grad_norm': 0.41876518726348877, 'learning_rate': 0.00018759358288770054, 'epoch': 0.06}                                                                                                                         
{'loss': 2.1752, 'grad_norm': 0.3414722681045532, 'learning_rate': 0.00018545454545454545, 'epoch': 0.07}                                                                                                                          
{'loss': 2.1648, 'grad_norm': 0.3098500072956085, 'learning_rate': 0.0001833155080213904, 'epoch': 0.09}                                                                                                                           
{'loss': 2.0583, 'grad_norm': 0.24052190780639648, 'learning_rate': 0.0001811764705882353, 'epoch': 0.1}                                                                                                                           
{'loss': 2.0628, 'grad_norm': 0.35592150688171387, 'learning_rate': 0.00017903743315508022, 'epoch': 0.11}                                                                                                                         
{'loss': 2.1474, 'grad_norm': 0.41266414523124695, 'learning_rate': 0.00017689839572192516, 'epoch': 0.12}                                                                                                                         
{'loss': 2.2026, 'grad_norm': 0.32484349608421326, 'learning_rate': 0.00017475935828877007, 'epoch': 0.13}                                                                                                                         
{'loss': 2.1409, 'grad_norm': 0.3115176260471344, 'learning_rate': 0.00017262032085561498, 'epoch': 0.14}                                                                                                                          
{'loss': 2.0347, 'grad_norm': 0.35760968923568726, 'learning_rate': 0.0001704812834224599, 'epoch': 0.15}                                                                                                                          
{'loss': 2.1003, 'grad_norm': 0.3203050196170807, 'learning_rate': 0.0001683422459893048, 'epoch': 0.16}                                                                                                                           
{'loss': 2.1237, 'grad_norm': 0.3540825843811035, 'learning_rate': 0.00016620320855614975, 'epoch': 0.17}                                                                                                                          
{'loss': 2.1191, 'grad_norm': 0.37643155455589294, 'learning_rate': 0.00016406417112299466, 'epoch': 0.18}                                                                                                                         
{'loss': 2.0804, 'grad_norm': 0.3406776189804077, 'learning_rate': 0.00016192513368983957, 'epoch': 0.19}                                                                                                                          
{'loss': 2.0474, 'grad_norm': 0.3347793519496918, 'learning_rate': 0.0001597860962566845, 'epoch': 0.2}                                                                                                                            
{'loss': 2.1518, 'grad_norm': 0.2646593749523163, 'learning_rate': 0.00015764705882352943, 'epoch': 0.21}                                                                                                                          
{'loss': 2.0929, 'grad_norm': 0.25542178750038147, 'learning_rate': 0.00015550802139037434, 'epoch': 0.22}                                                                                                                         
{'loss': 2.1159, 'grad_norm': 0.32019349932670593, 'learning_rate': 0.00015336898395721925, 'epoch': 0.24}                                                                                                                         
{'loss': 2.0027, 'grad_norm': 0.34765177965164185, 'learning_rate': 0.00015122994652406416, 'epoch': 0.25}                                                                                                                         
{'loss': 2.0533, 'grad_norm': 0.36883413791656494, 'learning_rate': 0.0001490909090909091, 'epoch': 0.26}                                                                                                                          
{'loss': 1.9936, 'grad_norm': 0.36636507511138916, 'learning_rate': 0.00014695187165775402, 'epoch': 0.27}                                                                                                                         
{'loss': 2.0676, 'grad_norm': 0.23773173987865448, 'learning_rate': 0.00014481283422459895, 'epoch': 0.28}                                                                                                                         
{'loss': 2.136, 'grad_norm': 0.382429838180542, 'learning_rate': 0.00014267379679144387, 'epoch': 0.29}                                                                                                                            
{'loss': 2.1612, 'grad_norm': 0.43218928575515747, 'learning_rate': 0.00014053475935828878, 'epoch': 0.3}                                                                                                                          
{'loss': 2.0512, 'grad_norm': 0.552561342716217, 'learning_rate': 0.0001383957219251337, 'epoch': 0.31}                                                                                                                            
{'loss': 1.9771, 'grad_norm': 0.34257182478904724, 'learning_rate': 0.0001362566844919786, 'epoch': 0.32}                                                                                                                          
{'loss': 2.154, 'grad_norm': 0.3079073429107666, 'learning_rate': 0.00013411764705882352, 'epoch': 0.33}                                                                                                                           
{'loss': 2.1512, 'grad_norm': 0.24296976625919342, 'learning_rate': 0.00013197860962566846, 'epoch': 0.34}                                                                                                                         
{'loss': 2.1726, 'grad_norm': 0.24224747717380524, 'learning_rate': 0.00012983957219251337, 'epoch': 0.35}                                                                                                                         
{'loss': 2.1492, 'grad_norm': 0.231348916888237, 'learning_rate': 0.0001277005347593583, 'epoch': 0.36}                                                                                                                            
